stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,geometry_point
4421,4421,Ogilvie Boulevard & Ower Place,,53.463478,-113.567398,1EDM,,0,,POINT (-113.567398 53.463478)
7884,7884,Victoria Trail & Hooke Road,,53.584042,-113.384925,1EDM,,0,,POINT (-113.384925 53.584042)
7576,7576,72 Street & 149A Avenue,,53.610991,-113.449152,1EDM,,0,,POINT (-113.449152 53.610991)
F1007,1007,95A Ave and Westwood Way EB,,53.687594,-113.249753,6FST,,0,,POINT (-113.249753 53.687594)
2243,2243,Ottewell Road & 94B Avenue,,53.532769,-113.435352,1EDM,,0,,POINT (-113.435352 53.532769)
5139,5139,146 Street & 109 Avenue,,53.556196,-113.572211,1EDM,,0,,POINT (-113.572211 53.556196)
77151,77151,90 Street & 132 Avenue,,53.591753,-113.479817,1EDM,,0,,POINT (-113.479817 53.591753)
8238,8238,Glastonbury Boulevard & Galland Crescent,,53.499796,-113.669148,1EDM,,0,,POINT (-113.669148 53.499796)
6276,6276,123 Street & 142 Avenue,,53.604106,-113.533892,1EDM,,0,,POINT (-113.533892 53.604106)
7522,7522,Hollick Kenyon Road & 162 Avenue,,53.623604,-113.422433,1EDM,,0,,POINT (-113.422433 53.623604)
A0873,0873,Park Ave & Parkwood Dr,,53.64144,-113.594902,2STA,,0,,POINT (-113.594902 53.64144)
77676,77676,Schonsee Drive & Crystallina Nera Way,,53.636321,-113.462397,1EDM,,0,,POINT (-113.462397 53.636321)
88156,88156,Granville Drive & Godson Point,,53.507308,-113.68372,1EDM,,0,,POINT (-113.68372 53.507308)
S8013,8013,Broadview Rd & Broadmoor Blvd,,53.544806,-113.318946,4SCT,,0,,POINT (-113.318946 53.544806)
6685,6685,127 Street & 161 Avenue,,53.623784,-113.541736,1EDM,,0,,POINT (-113.541736 53.623784)
2228,2228,99 Street & 44 Avenue,,53.482114,-113.485953,1EDM,,0,,POINT (-113.485953 53.482114)
S7205,7205,Meadowview Dr & Greenbriar Cr,,53.54286,-113.258249,4SCT,,0,,POINT (-113.258249 53.54286)
77646,77646,92 Street & 163 Avenue,,53.624966,-113.483026,1EDM,,0,,POINT (-113.483026 53.624966)
6111,6111,137 Street & 153 Avenue,,53.614681,-113.557592,1EDM,,0,,POINT (-113.557592 53.614681)
E123,E123,,,53.540923,-113.506097,,,3,Q2805,POINT (-113.506097 53.540923)
2774,2774,50 Street & Roper Road,,53.494815,-113.418339,1EDM,,0,,POINT (-113.418339 53.494815)
7679,7679,32 Street & Kirkness Road,,53.609563,-113.390478,1EDM,,0,,POINT (-113.390478 53.609563)
2368,2368,34 Street & 76 Avenue,,53.51245,-113.395014,1EDM,,0,,POINT (-113.395014 53.51245)
3310,3310,33 Street & 43 Avenue,,53.480537,-113.392276,1EDM,,0,,POINT (-113.392276 53.480537)
55116,55116,149 Street & 110 Avenue,,53.555471,-113.578235,1EDM,,0,,POINT (-113.578235 53.555471)
A0849,0849,Oakland Way & Oakridge Dr N,,53.661779,-113.612826,2STA,,0,,POINT (-113.612826 53.661779)
5522,5522,163 Street & 92 Avenue,,53.52705,-113.602662,1EDM,,0,,POINT (-113.602662 53.52705)
A0705,0705,Corriveau Avenue & Veness Road,,53.642289,-113.567292,2STA,,0,,POINT (-113.567292 53.642289)
S7900,7900,Emerald Dr & Clover Bar Rd,,53.566903,-113.274326,4SCT,,0,,POINT (-113.274326 53.566903)
5924,5924,182 Street & 86 Avenue,,53.519904,-113.637051,1EDM,,0,,POINT (-113.637051 53.519904)
3821,3821,50 Street & 23 Avenue,,53.453001,-113.419865,1EDM,,0,,POINT (-113.419865 53.453001)
4755,4755,Riverbend Road & Heath Road N,,53.464419,-113.593719,1EDM,,0,,POINT (-113.593719 53.464419)
8143,8143,204 Street & Hemingway Road,,53.487858,-113.673098,1EDM,,0,,POINT (-113.673098 53.487858)
6103,6103,Hudson Court & Hudson Road,,53.606627,-113.548994,1EDM,,0,,POINT (-113.548994 53.606627)
2221,2221,79 Street & 86 Avenue,,53.52159,-113.449138,1EDM,,0,,POINT (-113.449138 53.52159)
5381,5381,178 Street & 89 Avenue,,53.523448,-113.630277,1EDM,,0,,POINT (-113.630277 53.523448)
3024,3024,Mill Woods Road & Knottwood Road N,,53.44951,-113.449047,1EDM,,0,,POINT (-113.449047 53.44951)
3975,3975,Silver Berry Road E & 28A Avenue,,53.458085,-113.376953,1EDM,,0,,POINT (-113.376953 53.458085)
S7902,7902,Emerald Dr & Eton Blvd,,53.567014,-113.279356,4SCT,,0,,POINT (-113.279356 53.567014)
6279,6279,133 Street & 137 Avenue,,53.599601,-113.551013,1EDM,,0,,POINT (-113.551013 53.599601)
5571,5571,174 Street & 98A Avenue,,53.53307,-113.621091,1EDM,,0,,POINT (-113.621091 53.53307)
1298,1298,38 Street & 110 Avenue,,53.562941,-113.400066,1EDM,,0,,POINT (-113.400066 53.562941)
1608,1608,100 Street & 103 Avenue,,53.54513,-113.49117,1EDM,,0,,POINT (-113.49117 53.54513)
1273,1273,110 Street & 111 Avenue,,53.558794,-113.509864,1EDM,,0,,POINT (-113.509864 53.558794)
6393,6393,148 Street & 131 Avenue,,53.590026,-113.574448,1EDM,,0,,POINT (-113.574448 53.590026)
6327,6327,Castle Downs Road & 145 Avenue,,53.607413,-113.516529,1EDM,,0,,POINT (-113.516529 53.607413)
F4001,4001,86 Avenue and 94 Street EB,,53.693324,-113.211778,6FST,,0,,POINT (-113.211778 53.693324)
7242,7242,26 Street & 140 Avenue,,53.603198,-113.382182,1EDM,,0,,POINT (-113.382182 53.603198)
7942,7942,Victoria Trail & 132A Avenue,,53.593218,-113.385375,1EDM,,0,,POINT (-113.385375 53.593218)
77272,77272,87 Street & 180 Avenue,,53.64198,-113.472369,1EDM,,0,,POINT (-113.472369 53.64198)
77254,77254,89 Street & 180 Avenue,,53.641716,-113.474927,1EDM,,0,,POINT (-113.474927 53.641716)
3629,3629,50 Street & 31 Avenue,,53.46227,-113.420605,1EDM,,0,,POINT (-113.420605 53.46227)
6560,6560,111 Street & 137 Avenue,,53.599403,-113.511605,1EDM,,0,,POINT (-113.511605 53.599403)
5884,5884,166A Street & 111 Avenue,,53.559779,-113.606836,1EDM,,0,,POINT (-113.606836 53.559779)
8177,8177,199 Street & 69 Avenue,,53.502552,-113.665903,1EDM,,0,,POINT (-113.665903 53.502552)
66032,66032,Beaumaris Road & 155 Avenue,,53.616288,-113.502322,1EDM,,0,,POINT (-113.502322 53.616288)
A0941,0941,Eldorado Dr & Eastcott Dr,,53.659998,-113.621529,2STA,,0,,POINT (-113.621529 53.659998)
A0100,0100,SWC Ave & Tache St,,53.629784,-113.628909,2STA,,0,,POINT (-113.628909 53.629784)
L0148,0148,Sparrow Crescent,,53.304258,-113.545007,9LT,,0,,POINT (-113.545007 53.304258)
6351,6351,137 Street & 132 Avenue,,53.59263,-113.556043,1EDM,,0,,POINT (-113.556043 53.59263)
4862,4862,Haddow Drive & Haswell Gate S,,53.452288,-113.596971,1EDM,,0,,POINT (-113.596971 53.452288)
1926,1926,Corona Station,,53.540921,-113.504609,1EDM,,0,Q2805,POINT (-113.504609 53.540921)
5193,5193,170 Street & 95 Avenue,,53.531578,-113.613875,1EDM,,0,,POINT (-113.613875 53.531578)
3775,3775,38 Street & 23 Avenue,,53.45382,-113.398686,1EDM,,0,,POINT (-113.398686 53.45382)
